"Train/step","cpo_filter_2025-11-19_21-13-35 - Train/Mrewards","cpo_filter_2025-11-19_21-13-35 - Train/Mrewards__MIN","cpo_filter_2025-11-19_21-13-35 - Train/Mrewards__MAX","cpo_filter_2025-11-19_21-13-35 - _step","cpo_filter_2025-11-19_21-13-35 - _step__MIN","cpo_filter_2025-11-19_21-13-35 - _step__MAX"
"299607","-144.89292907714844","-144.89292907714844","-144.89292907714844","3030","3030","3030"
"301005","-145.05270385742188","-145.05270385742188","-145.05270385742188","3039","3039","3039"
"302403","-145.21087646484375","-145.21087646484375","-145.21087646484375","3049","3049","3049"
"305901","-147.76162719726562","-147.76162719726562","-147.76162719726562","3063","3063","3063"
"307899","-148.5767059326172","-148.5767059326172","-148.5767059326172","3074","3074","3074"
"309897","-149.38363647460938","-149.38363647460938","-149.38363647460938","3085","3085","3085"
"311695","-149.95449829101562","-149.95449829101562","-149.95449829101562","3096","3096","3096"
"313193","-150.1776580810547","-150.1776580810547","-150.1776580810547","3105","3105","3105"
"314691","-150.39857482910156","-150.39857482910156","-150.39857482910156","3115","3115","3115"
"316489","-150.95928955078125","-150.95928955078125","-150.95928955078125","3126","3126","3126"
"317887","-151.0583953857422","-151.0583953857422","-151.0583953857422","3135","3135","3135"
"319285","-151.15650939941406","-151.15650939941406","-151.15650939941406","3145","3145","3145"
"322783","-153.64779663085938","-153.64779663085938","-153.64779663085938","3159","3159","3159"
"324781","-154.4040069580078","-154.4040069580078","-154.4040069580078","3170","3170","3170"
"326779","-155.1526641845703","-155.1526641845703","-155.1526641845703","3181","3181","3181"
"328577","-155.66583251953125","-155.66583251953125","-155.66583251953125","3192","3192","3192"
"330075","-155.83187866210938","-155.83187866210938","-155.83187866210938","3202","3202","3202"
"331573","-155.9962615966797","-155.9962615966797","-155.9962615966797","3211","3211","3211"
"333371","-156.50099182128906","-156.50099182128906","-156.50099182128906","3222","3222","3222"
"334769","-156.544677734375","-156.544677734375","-156.544677734375","3231","3231","3231"
"336167","-156.58792114257812","-156.58792114257812","-156.58792114257812","3241","3241","3241"
"339665","-159.02490234375","-159.02490234375","-159.02490234375","3256","3256","3256"
"341663","-159.7273406982422","-159.7273406982422","-159.7273406982422","3267","3267","3267"
"343661","-160.42276000976562","-160.42276000976562","-160.42276000976562","3278","3278","3278"
"345459","-160.8832244873047","-160.8832244873047","-160.8832244873047","3288","3288","3288"
"346957","-160.99710083007812","-160.99710083007812","-160.99710083007812","3298","3298","3298"
"348455","-161.10983276367188","-161.10983276367188","-161.10983276367188","3308","3308","3308"
"350253","-161.5634307861328","-161.5634307861328","-161.5634307861328","3318","3318","3318"
"351651","-161.55648803710938","-161.55648803710938","-161.55648803710938","3328","3328","3328"
"353049","-161.54962158203125","-161.54962158203125","-161.54962158203125","3337","3337","3337"
"356547","-163.9369659423828","-163.9369659423828","-163.9369659423828","3352","3352","3352"
"358545","-164.5902862548828","-164.5902862548828","-164.5902862548828","3363","3363","3363"
"360543","-165.237060546875","-165.237060546875","-165.237060546875","3374","3374","3374"
"362341","-165.6493682861328","-165.6493682861328","-165.6493682861328","3384","3384","3384"
"363839","-165.71556091308594","-165.71556091308594","-165.71556091308594","3394","3394","3394"
"365337","-165.78109741210938","-165.78109741210938","-165.78109741210938","3404","3404","3404"
"367135","-166.18795776367188","-166.18795776367188","-166.18795776367188","3414","3414","3414"
"368533","-166.13478088378906","-166.13478088378906","-166.13478088378906","3424","3424","3424"
"369931","-166.08213806152344","-166.08213806152344","-166.08213806152344","3433","3433","3433"
"373429","-168.42416381835938","-168.42416381835938","-168.42416381835938","3448","3448","3448"
"375427","-169.03260803222656","-169.03260803222656","-169.03260803222656","3459","3459","3459"
"377425","-169.63497924804688","-169.63497924804688","-169.63497924804688","3470","3470","3470"
"379223","-170.00331115722656","-170.00331115722656","-170.00331115722656","3481","3481","3481"
"380721","-170.02597045898438","-170.02597045898438","-170.02597045898438","3490","3490","3490"
"382219","-170.04840087890625","-170.04840087890625","-170.04840087890625","3500","3500","3500"
"384017","-170.41259765625","-170.41259765625","-170.41259765625","3511","3511","3511"
"385415","-170.3171844482422","-170.3171844482422","-170.3171844482422","3520","3520","3520"
"386813","-170.22271728515625","-170.22271728515625","-170.22271728515625","3530","3530","3530"
"390311","-172.52333068847656","-172.52333068847656","-172.52333068847656","3544","3544","3544"
"392309","-173.09078979492188","-173.09078979492188","-173.09078979492188","3555","3555","3555"
"394307","-173.65257263183594","-173.65257263183594","-173.65257263183594","3566","3566","3566"
"396105","-173.98074340820312","-173.98074340820312","-173.98074340820312","3577","3577","3577"
"397603","-173.963623046875","-173.963623046875","-173.963623046875","3587","3587","3587"
"399101","-173.94667053222656","-173.94667053222656","-173.94667053222656","3596","3596","3596"
"400899","-174.2718963623047","-174.2718963623047","-174.2718963623047","3607","3607","3607"
"402297","-174.1378936767578","-174.1378936767578","-174.1378936767578","3616","3616","3616"
"403695","-174.00523376464844","-174.00523376464844","-174.00523376464844","3626","3626","3626"
"407193","-176.2680206298828","-176.2680206298828","-176.2680206298828","3640","3640","3640"
"409191","-176.7980194091797","-176.7980194091797","-176.7980194091797","3651","3651","3651"
"411189","-177.32272338867188","-177.32272338867188","-177.32272338867188","3662","3662","3662"
"412987","-177.6141815185547","-177.6141815185547","-177.6141815185547","3673","3673","3673"
"414485","-177.5607452392578","-177.5607452392578","-177.5607452392578","3683","3683","3683"
"415983","-177.50782775878906","-177.50782775878906","-177.50782775878906","3692","3692","3692"
"417781","-177.7974395751953","-177.7974395751953","-177.7974395751953","3703","3703","3703"
"419179","-177.628173828125","-177.628173828125","-177.628173828125","3712","3712","3712"
